,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
336,336,619701.0,598000,2796.0,2,2.0,2.0,1011.0,CONDO,516 Martha St UNIT 211,95112,FOR_SALE,17021.1208,380,95112,43,54,Below Average,22.7,77.2,100.0
337,337,1108187.0,1049990,3184.0,2,3.0,3.0,1673.0,SINGLE_FAMILY,345 Irving Ave,95128,FOR_SALE,30438.20293333333,422,95112,43,54,Average,22.2,61.4,60.0
338,338,1287182.0,1249950,4136.0,2,3.0,3.0,1740.0,SINGLE_FAMILY,121 Rainier St,95126,FOR_SALE,35354.59893333333,489,95112,43,54,Average,22.4,61.2,100.0
339,339,1026065.0,999888,3099.0,2,2.0,2.0,1376.0,SINGLE_FAMILY,1069 S 7th St,95112,FOR_SALE,28182.585333333336,493,95112,43,54,Below Average,22.7,77.2,100.0
340,340,1323443.0,1249000,1952.0,3,2.0,4.0,2051.0,SINGLE_FAMILY,336 Mayellen Ave,95126,FOR_SALE,36350.56773333333,435,95112,43,54,Average,22.4,61.2,100.0
341,341,997559.0,950000,3800.0,3,3.0,3.0,1696.0,TOWNHOUSE,378 Meridian Ave,95126,FOR_SALE,27399.62053333333,432,95112,43,54,Average,22.4,61.2,100.0
342,342,701131.0,678000,2792.0,3,2.0,2.0,1061.0,CONDO,125 Patterson St UNIT 139,95112,FOR_SALE,19257.731466666668,511,95110,43,53,Below Average,22.7,77.2,100.0
343,343,,1648000,,3,,,2525.0,MULTI_FAMILY,144-148 S 33rd St,95116,FOR_SALE,,515,95110,43,53,Below Average,24.4,84.7,100.0
344,344,1649099.0,1599000,4426.0,3,2.0,4.0,1880.0,SINGLE_FAMILY,1630 Hanchett Ave,95128,FOR_SALE,45295.25253333333,464,95110,43,53,Average,22.2,61.4,60.0
345,345,1183482.0,1150000,3977.0,4,2.0,3.0,2073.0,CONDO,25 S 3rd St UNIT 201,95113,FOR_SALE,32506.3056,426,95112,43,54,Poor,21.2,70.38427835051591,91.18994845360824
346,346,1550029.0,1499000,3772.0,4,2.0,3.0,1808.0,SINGLE_FAMILY,440 S 12th St,95112,FOR_SALE,42574.12986666666,433,95112,43,54,Below Average,22.7,77.2,100.0
347,347,955805.0,928000,2966.0,4,1.0,2.0,845.0,SINGLE_FAMILY,315 N 20th St,95112,FOR_SALE,26252.77733333333,401,95112,43,54,Below Average,22.7,77.2,100.0
348,348,1156020.0,1075000,3200.0,4,1.0,2.0,1070.0,SINGLE_FAMILY,1357 Sierra Ave,95126,FOR_SALE,31752.016,468,95112,43,54,Average,22.4,61.2,100.0
349,349,669632.0,649999,2499.0,4,1.0,2.0,907.0,CONDO,95 Hobson St APT 5B,95110,FOR_SALE,18392.55893333333,436,95110,43,53,Below Average,21.8,76.4,100.0
350,350,867889.0,828000,3449.0,4,2.0,3.0,1370.0,CONDO,800 N 8th St UNIT 218,95112,FOR_SALE,23838.017866666665,537,95112,43,54,Below Average,22.7,77.2,100.0
351,351,787921.0,765000,2999.0,4,1.0,2.0,1174.0,SINGLE_FAMILY,123 N 25th St,95116,FOR_SALE,21641.56346666667,505,95112,43,54,Below Average,24.4,84.7,100.0
352,352,6244604.0,6200000,10790.0,4,7.0,6.0,7088.0,SINGLE_FAMILY,1501 University Ave,95126,FOR_SALE,171518.45653333334,408,95112,43,54,Average,22.4,61.2,100.0
